Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,0.3829,500,19493,500
A*_taxicab_heuristic,0.3797,500,19493,500
A*_chebyshev_heuristic,0.3781,500,19493,500
DJIKSTRA,0.7988,500,174052,500
DFS_NORMAL,0.7632,114008,186136,208592
DFS_LIM,0.5483,88384,191643,164952
BFS,0.4787,476,179434,780
A*_manhattan_heuristic,0.5833,579,47585,615
A*_taxicab_heuristic,0.5166,579,47585,615
A*_chebyshev_heuristic,0.5449,579,47585,615
DJIKSTRA,0.8784,579,183201,615
DFS_NORMAL,0.5192,40451,64939,80479
DFS_LIM,0.2222,39881,70087,78881
BFS,0.3891,531,166098,1083
A*_manhattan_heuristic,0.4271,634,31840,634
A*_taxicab_heuristic,0.4237,634,31840,634
A*_chebyshev_heuristic,0.4211,634,31840,634
DJIKSTRA,0.7941,634,180766,634
DFS_NORMAL,0.9874,66708,235667,112042
DFS_LIM,0.2877,53310,101376,88252
BFS,0.44,620,190103,928
A*_manhattan_heuristic,0.4248,713,28075,713
A*_taxicab_heuristic,0.4211,713,28075,713
A*_chebyshev_heuristic,0.4147,713,28075,713
DJIKSTRA,0.7682,713,162357,713
DFS_NORMAL,0.6998,77941,132891,128735
DFS_LIM,0.3568,75699,129055,125789
BFS,0.3831,691,169350,1371
A*_manhattan_heuristic,0.447,592,34789,612
A*_taxicab_heuristic,0.4536,592,34789,612
A*_chebyshev_heuristic,0.4448,592,34789,612
DJIKSTRA,0.7755,592,171968,612
DFS_NORMAL,0.6626,74312,126916,125264
DFS_LIM,0.3433,54676,127574,94048
BFS,0.3827,548,166458,1426
A*_manhattan_heuristic,0.8757,1023,128246,1147
A*_taxicab_heuristic,0.8775,1023,128246,1147
A*_chebyshev_heuristic,1.0255,1023,128246,1147
DJIKSTRA,1.0222,1023,248824,1147
DFS_NORMAL,0.8993,24915,267908,47525
DFS_LIM,0.5925,23189,266439,41893
BFS,0.5001,959,232572,2009
A*_manhattan_heuristic,0.5828,841,64481,865
A*_taxicab_heuristic,0.5773,841,64481,865
A*_chebyshev_heuristic,0.5812,841,64481,865
DJIKSTRA,0.9332,841,218956,865
DFS_NORMAL,0.7954,112031,181058,200229
DFS_LIM,0.4918,111841,182860,200235
BFS,0.4716,819,215392,2181
A*_manhattan_heuristic,0.77,956,105474,956
A*_taxicab_heuristic,0.7638,956,105474,956
A*_chebyshev_heuristic,0.773,956,105474,956
DJIKSTRA,1.0595,956,258865,956
DFS_NORMAL,0.4982,32768,50758,66478
DFS_LIM,0.2049,26492,67661,58634
BFS,0.5327,834,244303,1386
A*_manhattan_heuristic,0.5294,686,46919,698
A*_taxicab_heuristic,0.4854,686,46919,698
A*_chebyshev_heuristic,0.4845,686,46919,698
DJIKSTRA,1.0853,686,254915,698
DFS_NORMAL,0.6079,62468,100739,102918
DFS_LIM,0.2706,52994,88401,88960
BFS,0.5595,640,252220,1566
A*_manhattan_heuristic,0.4147,628,27608,628
A*_taxicab_heuristic,0.4152,628,27608,628
A*_chebyshev_heuristic,0.4091,628,27608,628
DJIKSTRA,0.9077,628,194101,628
DFS_NORMAL,0.6485,63650,121241,104880
DFS_LIM,0.3038,61364,107405,100694
BFS,0.4387,604,195632,1044
A*_manhattan_heuristic,0.6581,844,80717,908
A*_taxicab_heuristic,0.6593,844,80717,908
A*_chebyshev_heuristic,0.6573,844,80717,908
DJIKSTRA,0.9345,844,225889,908
DFS_NORMAL,0.5036,36666,58484,63178
DFS_LIM,0.1981,7136,71769,10502
BFS,0.4683,778,215840,1384
A*_manhattan_heuristic,0.9165,908,137725,1028
A*_taxicab_heuristic,0.9298,908,137725,1028
A*_chebyshev_heuristic,0.9232,908,137725,1028
DJIKSTRA,1.1234,912,272924,1028
DFS_NORMAL,0.8977,10318,277887,20890
DFS_LIM,0.5929,14498,274894,23160
BFS,0.5209,848,240888,2094
A*_manhattan_heuristic,0.4986,902,45693,902
A*_taxicab_heuristic,0.4992,902,45693,902
A*_chebyshev_heuristic,0.5002,902,45693,902
DJIKSTRA,1.1889,902,267701,902
DFS_NORMAL,0.6722,63050,131983,107724
DFS_LIM,0.2713,44380,95963,78582
BFS,0.5968,878,272193,2110
A*_manhattan_heuristic,0.5398,938,53690,938
A*_taxicab_heuristic,0.5345,938,53690,938
A*_chebyshev_heuristic,0.5289,938,53690,938
DJIKSTRA,1.0577,938,250840,938
DFS_NORMAL,0.8024,110568,185482,200700
DFS_LIM,0.5025,98442,193243,180842
BFS,0.5701,920,258632,1260
A*_manhattan_heuristic,0.5906,707,35571,707
A*_taxicab_heuristic,0.4618,707,35571,707
A*_chebyshev_heuristic,0.4421,707,35571,707
DJIKSTRA,0.9354,707,221695,707
DFS_NORMAL,0.7501,98353,163012,169343
DFS_LIM,0.4499,96951,164426,167941
BFS,0.5009,677,226001,1293
A*_manhattan_heuristic,0.5379,856,56348,856
A*_taxicab_heuristic,0.54,856,56348,856
A*_chebyshev_heuristic,0.5417,856,56348,856
DJIKSTRA,1.0708,856,257445,856
DFS_NORMAL,0.8718,53422,248467,105756
DFS_LIM,0.5648,48466,244783,87878
BFS,0.5721,830,261796,1976
A*_manhattan_heuristic,0.7413,576,103795,784
A*_taxicab_heuristic,0.7567,576,103795,784
A*_chebyshev_heuristic,0.7396,576,103795,784
DJIKSTRA,0.9197,576,217541,784
DFS_NORMAL,0.5628,51062,80441,103110
DFS_LIM,0.2528,47088,84638,95668
BFS,0.3431,574,153060,1198
A*_manhattan_heuristic,0.5352,851,52702,855
A*_taxicab_heuristic,0.5335,851,52702,855
A*_chebyshev_heuristic,0.5253,851,52702,855
DJIKSTRA,0.9894,851,234759,855
DFS_NORMAL,0.4699,25157,40130,42097
DFS_LIM,0.1522,24733,41312,41681
BFS,0.508,791,230097,2029
A*_manhattan_heuristic,0.5506,883,60094,883
A*_taxicab_heuristic,0.5527,883,60094,883
A*_chebyshev_heuristic,0.5513,883,60094,883
DJIKSTRA,1.0583,883,255298,883
DFS_NORMAL,0.8401,125777,214157,227257
DFS_LIM,0.5687,117757,218241,213133
BFS,0.577,853,263504,1461
