Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
BA*,0.6259970665,24196,643
EBA*,0.7110002041,41143,649
DIJKSTRA,0.6249985695,136455,631
DFS_NORMAL,0.7730002403,210454,125597
DFS_LIM,0.4799978733,214920,67069
BFS,0.3009998798,133750,1245
A*,0.4710006714,43704,720
BA*,0.7340018749,44417,762
EBA*,0.7320048809,47045,762
DIJKSTRA,0.8779988289,193326,720
DFS_NORMAL,0.7680027485,204642,151636
DFS_LIM,0.0980021954,18604,54764
BFS,0.4439952374,194813,4458
A*,1.1180019379,180836,1170
BA*,0.6910037994,37649,1198
EBA*,0.8450000286,71566,1188
DIJKSTRA,0.973995924,233377,1170
DFS_NORMAL,0.7169954777,159875,256506
DFS_LIM,0.4300034046,158963,255424
BFS,0.5070004463,232964,5236
A*,0.5110044479,54551,807
BA*,0.6899957657,30833,849
EBA*,0.6519982815,26639,833
DIJKSTRA,0.8380007744,192943,807
DFS_NORMAL,0.6969988346,158907,233877
DFS_LIM,0.4330019951,158670,231677
BFS,0.4330019951,195232,1473
A*,0.4320001602,34681,752
BA*,0.7369999886,44691,752
EBA*,0.7730002403,54072,812
DIJKSTRA,0.7540006638,166079,752
DFS_NORMAL,0.7889976501,232632,39584
DFS_LIM,0.4889996052,211906,95526
BFS,0.4169991016,176488,2180
A*,0.6570005417,78838,849
BA*,0.683000803,29573,861
EBA*,0.7889993191,58419,849
DIJKSTRA,0.9909999371,228023,849
DFS_NORMAL,0.1360003948,31177,49359
DFS_LIM,0.5000004768,73500,69611
BFS,0.5180010796,227121,2137
A*,0.9899997711,148950,1011
BA*,0.6859998703,37226,1025
EBA*,0.7560007572,52795,1031
DIJKSTRA,0.9759998322,228106,1011
DFS_NORMAL,0.1169950962,18427,21357
DFS_LIM,0.0889999866,20508,21513
BFS,0.4390003681,195268,1931
A*,1.0570001602,178063,1073
BA*,0.7300014496,45797,1077
EBA*,0.7929999828,59218,1131
DIJKSTRA,0.988001585,233715,1073
DFS_NORMAL,0.5700023174,92552,184231
DFS_LIM,0.0560004711,7325,26945
BFS,0.453997612,195090,3095
A*,0.3480000496,15864,542
BA*,0.6019985676,12430,562
EBA*,0.5870006084,14180,572
DIJKSTRA,0.5840001106,128567,542
DFS_NORMAL,0.7869987488,213636,151976
DFS_LIM,0.4539999962,193350,152662
BFS,0.3100001812,136331,1458
A*,0.4710011482,39211,728
BA*,0.6859989166,29469,748
EBA*,0.8029994965,60344,772
DIJKSTRA,0.7149999142,157724,728
DFS_NORMAL,0.695002079,139778,216958
DFS_LIM,0.3909990788,141018,215180
