Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
EBA*,0.0409989357,1726,189
DIJKSTRA,0.0479981899,9024,167
DFS_NORMAL,0.0060009956,1598,5443
DFS_LIM,0.0289988518,13964,7455
BFS,0.0090010166,3849,181
A*,0.0169994831,753,155
BA*,0.0360002518,906,155
EBA*,0.0390014648,1130,165
DIJKSTRA,0.0400011539,6055,155
DFS_NORMAL,0.0279998779,12297,12647
DFS_LIM,0.0270016193,12375,11295
BFS,0.0170018673,8167,221
A*,0.0180053711,951,101
BA*,0.0360002518,569,101
EBA*,0.0440001488,631,101
DIJKSTRA,0.0190010071,2268,101
DFS_NORMAL,0.011002779,4192,7251
DFS_LIM,0.0130012035,5223,6629
BFS,0.0080032349,3257,147
A*,0.0209987164,1947,169
BA*,0.0380041599,2116,169
EBA*,0.0409994125,1770,169
DIJKSTRA,0.0329995155,5306,169
DFS_NORMAL,0.0269999504,12257,12177
DFS_LIM,0.0079989433,3096,2053
BFS,0.0070030689,3352,961
A*,0.0149977207,175,100
BA*,0.0300004482,229,100
EBA*,0.0310065746,261,100
DIJKSTRA,0.0120036602,664,100
DFS_NORMAL,0.0099987984,2626,4128
DFS_LIM,0.0039978027,796,108
BFS,0.0109977722,1235,100
A*,0.0159976482,265,54
BA*,0.0299983025,313,54
EBA*,0.0309987068,298,54
DIJKSTRA,0.0109994411,886,54
DFS_NORMAL,0.0200009346,8334,14894
DFS_LIM,0.0230009556,8661,12078
BFS,0.0039987564,981,468
A*,0.017999649,1186,136
BA*,0.0360019207,1550,138
EBA*,0.0340013504,1502,138
DIJKSTRA,0.0190007687,3871,136
DFS_NORMAL,0.0020000935,125,582
DFS_LIM,0.004999876,1504,1394
BFS,0.0070016384,1664,360
A*,0.0299994946,3414,195
BA*,0.0320010185,756,195
EBA*,0.0330004692,941,195
DIJKSTRA,0.0279996395,6271,195
DFS_NORMAL,0.0190000534,7916,9597
DFS_LIM,0.0219993591,9745,8995
BFS,0.0070037842,3010,411
