Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,0.0,311,733
DFS_LIM,0.0,84,93
DFS,1.0037422,406,649
DFS_LIM,0.9987354,456,265
DFS,0.9996891,34,34
DFS_LIM,1.0015965,100,120
DFS,2.0008087,782,497
DFS_LIM,1.0006428,866,523
DFS,0.9996891,592,767
DFS_LIM,1.0006428,589,275
DFS,1.0025501,649,1026
DFS_LIM,1.9996165999999997,830,1046
DFS,0.0,66,198
DFS_LIM,1.0018349,500,354
DFS,0.9968281,487,571
DFS_LIM,1.9991397999999998,725,231
DFS,0.0,233,296
DFS_LIM,1.0011196,411,314
DFS,0.0,270,571
DFS_LIM,1.0006428,337,27
DFS,1.001358,249,306
DFS_LIM,0.0,307,324
DFS,1.0015965,415,676
DFS_LIM,1.0032654,509,416
DFS,0.0,179,166
DFS_LIM,0.9994507,251,104
DFS,1.0015965,499,553
DFS_LIM,0.9996891,573,419
DFS,0.0,310,272
DFS_LIM,0.9980201999999999,621,440
DFS,0.9999275,570,1209
DFS_LIM,1.0023117,519,1195
DFS,0.0,65,65
DFS_LIM,0.0,133,127
DFS,0.9980201999999999,623,1009
DFS_LIM,1.9984245,688,949
DFS,0.9994507,381,723
DFS_LIM,0.9999275,520,561
DFS,0.0,292,933
DFS_LIM,0.9999275,148,283
DFS,0.9994507,559,708
DFS_LIM,2.0005702999999997,798,734
DFS,2.0008087,916,672
DFS_LIM,1.0001659,304,696
DFS,0.9977817999999999,659,708
DFS_LIM,2.0010471,809,594
DFS,2.0000934999999997,698,984
DFS_LIM,2.0020008000000002,705,868
DFS,0.0,237,253
DFS_LIM,1.0011196,530,499
DFS,1.999855,762,1001
DFS_LIM,0.9982585999999999,801,547
DFS,0.9982585999999999,884,446
DFS_LIM,1.0004044,515,514
DFS,1.0001659,371,351
DFS_LIM,1.0008812,468,117
DFS,0.9968281,386,665
DFS_LIM,1.9996165999999997,639,511
DFS,0.9999275,127,275
DFS_LIM,1.0004044,515,435
DFS,2.0017624,772,568
DFS_LIM,2.0000934999999997,784,378
DFS,2.0012856,859,734
